timestamp,content,window_title,process,pid
2025-10-04 18:34:01,"2025-10-04 17:28:22,copy,APP.PY - Hackaton - Visual Studio Code,Code.exe,18256,2025-10-04 17:28:22\r\n2025-10-04 17:28:25,paste,APP.PY - Hackaton - Visual Studio Code,Code.exe,18256,2025-10-04 17:28:25\r\n2025-10-04 17:40:19,copy,ProcessBot automation hackathon – Opera,opera.exe,18264,2025-10-04 17:40:19\r\n2025-10-04 17:40:35,paste,Submit a new project | ChallengeRocket.com – Opera,opera.exe,18264,2025-10-04 17:40:35\r\n2025-10-04 17:43:08,copy,summarise - Szukaj w Google – Opera,opera.exe,18264,2025-10-04 17:43:08\r\n2025-10-04 17:43:12,paste,Submit a new project | ChallengeRocket.com – Opera,opera.exe,18264,2025-10-04 17:43:12\r\n2025-10-04 17:44:42,copy,ProcessBot automation hackathon – Opera,opera.exe,18264,2025-10-04 17:44:42\r\n2025-10-04 17:44:47,paste,Submit a new project | ChallengeRocket.com – Opera,opera.exe,18264,2025-10-04 17:44:47\r\n2025-10-04 17:45:53,copy,APP.PY - Hackaton - Visual Studio Code,Code.exe,18256,2025-10-04 17:45:53\r\n2025-10-04 18:05:29,copy,APP.PY - Hackaton - Visual Studio Code,Code.exe,18256,2025-10-04 18:05:29\r\n2025-10-04 18:05:31,copy,APP.PY - Hackaton - Visual Studio Code,Code.exe,18256,2025-10-04 18:05:31\r\n2025-10-04 18:20:21,copy,Command Prompt - app.py,WindowsTerminal.exe,10672,2025-10-04 18:20:21\r\n2025-10-04 18:22:29,copy,events.csv - Hackaton - Visual Studio Code,Code.exe,18256,2025-10-04 18:22:29\r\n2025-10-04 18:24:48,copy,APP.PY - Hackaton - Visual Studio Code,Code.exe,18256,2025-10-04 18:24:48\r\n",Command Prompt - app.py,WindowsTerminal.exe,16848
2025-10-04 18:35:50,"def plot_process_network(self, output_html: str = None):\r\n        """"""Tworzy interaktywny wykres sieci przejść między procesami.""""""\r\n        df = self.data.copy()\r\n        df['next_process'] = df['process'].shift(-1)\r\n        \r\n        # usuwamy powtarzające się procesy z rzędu (brak ""przejścia"")\r\n        df = df[df['process'] != df['next_process']]\r\n        \r\n        # liczba przejść między procesami\r\n        transitions = df.groupby(['process', 'next_process']).size().reset_index(name='count')\r\n        \r\n        # budowa grafu NetworkX\r\n        G = nx.DiGraph()\r\n        for _, row in transitions.iterrows():\r\n            G.add_edge(row['process'], row['next_process'], weight=row['count'])\r\n        \r\n        pos = nx.spring_layout(G, seed=42)  # rozmieszczenie węzłów\r\n        \r\n        # przygotowanie danych do Plotly\r\n        edge_x, edge_y = [], []\r\n        for edge in G.edges():\r\n            x0, y0 = pos[edge[0]]\r\n            x1, y1 = pos[edge[1]]\r\n            edge_x.extend([x0, x1, None])\r\n            edge_y.extend([y0, y1, None])\r\n        \r\n        edge_trace = go.Scatter(\r\n            x=edge_x, y=edge_y,\r\n            line=dict(width=1, color='#888'),\r\n            hoverinfo='none',\r\n            mode='lines'\r\n        )\r\n        \r\n        node_x, node_y, node_text, node_size = [], [], [], []\r\n        for node in G.nodes():\r\n            x, y = pos[node]\r\n            node_x.append(x)\r\n            node_y.append(y)\r\n            node_text.append(node)\r\n            degree = G.degree(node)\r\n            node_size.append(10 + degree * 5)\r\n        \r\n        node_trace = go.Scatter(\r\n            x=node_x, y=node_y,\r\n            mode='markers+text',\r\n            text=node_text,\r\n            textposition='top center',\r\n            hoverinfo='text',\r\n            marker=dict(\r\n                showscale=True,\r\n                colorscale='YlGnBu',\r\n                color=[G.degree(n) for n in G.nodes()],\r\n                size=node_size,\r\n                colorbar=dict(\r\n                    title='Stopień węzła',\r\n                    thickness=15,\r\n                    xanchor='left',\r\n                    titleside='right'\r\n                ),\r\n                line_width=2\r\n            )\r\n        )\r\n        \r\n        fig = go.Figure(data=[edge_trace, node_trace],\r\n                        layout=go.Layout(\r\n                            title='Sieć przejść między procesami',\r\n                            title_x=0.5,\r\n                            showlegend=False,\r\n                            hovermode='closest',\r\n                            margin=dict(b=0, l=0, r=0, t=40),\r\n                            template='plotly_dark'\r\n                        ))\r\n        \r\n        if output_html:\r\n            fig.write_html(output_html)\r\n            print(f""Wykres sieci zapisano do pliku: {output_html}"")\r\n        return fig",Narzędzia do wykresów interaktywnych – Opera,opera.exe,18264
2025-10-04 18:36:09,import networkx as nx,Przełączanie zadań,explorer.exe,16892
2025-10-04 18:36:17,networkx,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:37:00,plot_process_network,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:37:32,    fig.show()\r\n,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:38:37,"  File ""c:\Users\trzeb\Desktop\hack\Hackaton\Process_analyse\proc_analysis.py"", line 78, in plot_process_network\r\n    edge_trace = nx.go.Scatter(",Narzędzia do wykresów interaktywnych – Opera,opera.exe,18264
2025-10-04 18:39:19,"  File ""c:\Users\trzeb\Desktop\hack\Hackaton\Process_analyse\proc_analysis.py"", line 78, in plot_process_network\r\n    edge_trace = go.Scatter(",Narzędzia do wykresów interaktywnych – Opera,opera.exe,18264
2025-10-04 18:41:33,titleside,proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
2025-10-04 18:42:59,                    title='right'\r\n,● proc_analysis.py - Hackaton - Visual Studio Code,Code.exe,18256
