timestamp,title,process,pid
2024-10-01 08:02:57,Spotkanie: Daily Standup - Microsoft Teams,teams.exe,6919
2024-10-01 08:04:34,Spotkanie_klienta.pptx - PowerPoint,powerpnt.exe,7554
2024-10-01 08:11:28,Spotkanie: Review projektu - Microsoft Teams,teams.exe,6086
2024-10-01 08:18:10,Spotkanie: Daily Standup - Microsoft Teams,teams.exe,5790
2024-10-01 08:24:32,Review_Q3.pptx - PowerPoint,powerpnt.exe,5743
2024-10-01 08:31:48,Spotkanie: Review projektu - Microsoft Teams,teams.exe,4391
2024-10-01 18:39:47,Spotkanie: Review projektu - Microsoft Teams,teams.exe,4117
2024-10-01 18:49:01,Spotkanie_klienta.pptx - PowerPoint,powerpnt.exe,7966
2024-10-01 18:55:54,Spotkanie: Review projektu - Microsoft Teams,teams.exe,7750
2024-10-01 19:08:59,Spotkanie: Daily Standup - Microsoft Teams,teams.exe,4588
2024-10-01 19:16:10,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,4917
2024-10-01 19:27:42,Microsoft Teams,teams.exe,5356
2024-10-01 19:39:22,Czat zespołu - Microsoft Teams,teams.exe,6730
2024-10-01 19:49:57,Review_Q3.pptx - PowerPoint,powerpnt.exe,4719
2024-10-01 19:59:25,Spotkanie 1:1 z managerem - Microsoft Teams,teams.exe,1169
2024-10-01 20:12:49,Microsoft Teams,teams.exe,6054
2024-10-01 21:16:13,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,5499
2024-10-01 21:19:22,Outlook,outlook.exe,7425
2024-10-01 21:21:13,KPI_dashboard.xlsx - Excel,excel.exe,7052
2024-10-01 21:25:25,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,2045
2024-10-01 21:31:26,Nowa wiadomość - Outlook,outlook.exe,4505
2024-10-01 22:37:37,KPI_dashboard.xlsx - Excel,excel.exe,1427
2024-10-01 22:39:37,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,5042
2024-10-01 22:49:40,Skrzynka odbiorcza - Outlook,outlook.exe,5079
2024-10-01 22:56:33,Budżet_Q4.xlsx - Excel,excel.exe,5996
2024-10-01 23:05:03,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,2113
2024-10-01 23:08:29,Skrzynka odbiorcza - Outlook,outlook.exe,6260
2024-10-01 23:12:26,Czat zespołu - Microsoft Teams,teams.exe,6226
2024-10-01 23:20:31,Stack Overflow - Google Chrome,chrome.exe,7158
2024-10-01 18:28:10,Outlook,outlook.exe,2394
2024-10-01 18:40:44,Spotkanie 1:1 z managerem - Microsoft Teams,teams.exe,2205
2024-10-01 18:43:56,Power BI - Google Chrome,chrome.exe,5198
2024-10-01 18:54:09,config.yaml - Visual Studio Code,code.exe,2821
2024-10-01 19:08:43,script.py - Visual Studio Code,code.exe,1211
2024-10-01 19:18:30,database.sql - Visual Studio Code,code.exe,7611
2024-10-01 19:28:04,Confluence - Google Chrome,chrome.exe,6481
2024-10-01 19:36:49,config.yaml - Visual Studio Code,code.exe,6942
2024-10-01 19:43:34,Salesforce - Google Chrome,chrome.exe,2075
2024-10-01 19:53:08,project-alpha - Slack,slack.exe,3615
2024-10-01 20:06:48,config.yaml - Visual Studio Code,code.exe,3652
2024-10-01 20:14:39,Confluence - Google Chrome,chrome.exe,2689
2024-10-01 20:24:28,project-alpha - Slack,slack.exe,1821
2024-10-01 20:37:21,script.py - Visual Studio Code,code.exe,2059
2024-10-01 20:47:00,JIRA - Google Chrome,chrome.exe,5368
2024-10-01 21:01:29,project-alpha - Slack,slack.exe,5490
2024-10-01 21:11:41,script.py - Visual Studio Code,code.exe,5415
2024-10-01 21:23:17,Workday - Google Chrome,chrome.exe,6722
2024-10-01 21:31:08,general - Slack,slack.exe,2518
2024-10-01 21:35:40,database.sql - Visual Studio Code,code.exe,2789
2024-10-01 21:42:31,Salesforce - Google Chrome,chrome.exe,5298
2024-10-01 18:55:40,project-alpha - Slack,slack.exe,2735
2024-10-01 19:06:03,app.js - Visual Studio Code,code.exe,4493
2024-10-01 19:20:51,JIRA - Google Chrome,chrome.exe,5923
2024-10-01 19:28:11,Spotkanie: Review - Outlook,outlook.exe,5705
2024-10-01 19:41:29,Microsoft Teams,teams.exe,2756
2024-10-01 19:53:28,GitHub - Google Chrome,chrome.exe,1888
2024-10-01 19:03:56,Kalendarz - Outlook,outlook.exe,7437
2024-10-01 19:07:39,Spotkanie 1:1 z managerem - Microsoft Teams,teams.exe,7569
2024-10-01 19:14:46,Power BI - Google Chrome,chrome.exe,7139
2024-10-01 19:25:43,Nowa wiadomość - Outlook,outlook.exe,6496
2024-10-01 19:32:54,Analiza_danych.xlsx - Excel,excel.exe,3073
2024-10-01 19:38:38,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,2101
2024-10-01 19:39:08,Spotkanie: Review - Outlook,outlook.exe,3006
2024-10-01 19:50:34,Raport_sprzedaży.xlsx - Excel,excel.exe,7853
2024-10-01 20:04:58,Spotkanie_klienta.pptx - PowerPoint,powerpnt.exe,4611
2024-10-01 20:07:01,Skrzynka odbiorcza - Outlook,outlook.exe,2161
2024-10-01 20:13:41,KPI_dashboard.xlsx - Excel,excel.exe,2785
2024-10-01 22:22:54,Review_Q3.pptx - PowerPoint,powerpnt.exe,7074
2024-10-01 22:33:21,Nowa wiadomość - Outlook,outlook.exe,5314
2024-10-01 23:13:22,Spotkanie: Planowanie sprintu - Microsoft Teams,teams.exe,3141
2024-10-01 23:19:50,Power BI - Google Chrome,chrome.exe,1978
2024-10-01 18:21:59,Microsoft Teams,teams.exe,7514
2024-10-01 18:25:33,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,1439
2024-10-01 18:31:27,Spotkanie: Planowanie sprintu - Microsoft Teams,teams.exe,2492
2024-10-01 18:44:22,Spotkanie: Daily Standup - Microsoft Teams,teams.exe,3414
2024-10-01 18:54:13,Prezentacja_zespołu.pptx - PowerPoint,powerpnt.exe,1740
2024-10-01 19:02:45,Microsoft Teams,teams.exe,2874
