timestamp,eventType,domain,seconds
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:29.921Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:32.622Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:32.746Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:32.912Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:33.131Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:33.347Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:39.462Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:40.353Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:40.537Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:40.590Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:40.743Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:46.841Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:47.336Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:47.814Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:42:48.375Z
time_spent,poczta.agh.edu.pl,34,2025-10-04T14:42:59.113Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:43:08.408Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:43:08.451Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:43:08.461Z
input_text,poczta.agh.edu.pl,,2025-10-04T14:43:08.519Z
time_spent,poczta.agh.edu.pl,128,2025-10-04T14:45:08.090Z
time_spent,poczta.agh.edu.pl,6,2025-10-04T14:45:14.800Z
page_load,www.youtube.com,,2025-10-04T14:50:13.637Z
time_spent,www.youtube.com,12,2025-10-04T14:50:26.525Z
page_load,www.bing.com,,2025-10-04T14:50:26.722Z
time_spent,www.bing.com,1,2025-10-04T14:50:27.870Z
page_load,www.bing.com,,2025-10-04T14:50:27.923Z
page_load,www.youtube.com,,2025-10-04T14:50:28.110Z
time_spent,www.youtube.com,2,2025-10-04T14:50:30.334Z
page_load,www.facebook.com,,2025-10-04T14:50:30.905Z
time_spent,www.facebook.com,7,2025-10-04T14:50:38.177Z
time_spent,www.facebook.com,1,2025-10-04T14:50:39.837Z
page_load,www.bing.com,,2025-10-04T14:51:08.815Z
time_spent,www.bing.com,1,2025-10-04T14:51:09.988Z
page_load,www.bing.com,,2025-10-04T14:51:10.058Z
page_load,poczta.agh.edu.pl,,2025-10-04T14:51:10.261Z
time_spent,poczta.agh.edu.pl,2,2025-10-04T14:51:12.702Z
page_load,poczta.agh.edu.pl,,2025-10-04T14:51:12.860Z
time_spent,poczta.agh.edu.pl,11,2025-10-04T14:51:24.016Z
